order_id,order_date,region,category,unit_price,units_sold,discount_pct,revenue,customer_rating
ORD00100,2025-01-01,North,Sports,59.59,12,5,679.33,3.6
ORD00272,2025-01-02,North,Electronics,186.92,6,15,953.29,3.1
ORD00189,2025-01-03,North,Sports,69.95,11,15,654.03,4.5
ORD00243,2025-01-03,South,Apparel,39.77,6,10,214.76,4.0
ORD00053,2025-01-04,North,Sports,46.27,8,10,333.14,
ORD00062,2025-01-04,East,Home Goods,75.2,15,5,1071.6,3.7
ORD00176,2025-01-07,South,Home Goods,57.72,7,0,404.04,4.0
ORD00229,2025-01-08,West,Home Goods,82.09,9,0,738.81,3.1
ORD00110,2025-01-08,South,Home Goods,77.77,6,0,466.62,3.3
ORD00173,2025-01-09,East,Sports,56.42,10,0,564.2,
ORD00363,2025-01-09,North,Electronics,196.57,9,0,1769.13,4.8
ORD00369,2025-01-09,West,Apparel,70.55,5,0,352.75,4.3
ORD00353,2025-01-10,North,Electronics,242.35,6,20,1163.28,4.3
ORD00336,2025-01-12,North,Home Goods,81.37,8,10,585.86,5.0
ORD00043,2025-01-13,South,Home Goods,83.97,8,5,638.17,5.0
ORD00051,2025-01-13,South,Home Goods,100.91,11,0,1110.01,4.0
ORD00334,2025-01-16,North,Electronics,258.45,10,15,2196.82,3.7
ORD00204,2025-01-22,North,Sports,83.8,11,0,921.8,4.2
ORD00090,2025-01-22,North,Electronics,178.29,15,0,2674.35,3.9
ORD00270,2025-01-22,West,Home Goods,70.41,7,15,418.94,4.4
ORD00315,2025-01-25,South,Electronics,331.22,3,15,844.61,
ORD00365,2025-01-26,East,Electronics,231.76,11,0,2549.36,4.0
ORD00186,2025-01-26,North,Sports,30.72,11,10,304.13,3.5
ORD00290,2025-01-26,West,Sports,91.44,8,20,585.22,3.5
ORD00010,2025-01-27,South,Electronics,202.98,7,15,1207.73,3.8
ORD00150,2025-01-27,West,Home Goods,77.81,16,0,1244.96,2.8
ORD00296,2025-01-27,West,Apparel,43.75,11,10,5433.792032446178,3.6
ORD00020,2025-01-29,West,Sports,47.04,8,0,376.32,4.1
ORD00390,2025-02-01,East,Apparel,35.0,6,10,189.0,5.0
ORD00249,2025-02-02,West,Electronics,166.17,9,10,1345.98,3.5
ORD00008,2025-02-03,West,Home Goods,101.42,14,5,1348.89,4.3
ORD00300,2025-02-06,South,Electronics,236.9,9,15,1812.28,4.3
ORD00366,2025-02-06,South,Electronics,268.68,9,10,2176.31,4.2
ORD00139,2025-02-08,South,Sports,89.7,8,10,645.84,3.8
ORD00299,2025-02-08,East,Electronics,195.95,8,20,1254.08,5.0
ORD00012,2025-02-09,North,Sports,44.96,10,10,404.64,3.4
ORD00103,2025-02-10,South,Sports,56.67,7,20,317.35,3.9
ORD00059,2025-02-10,West,Home Goods,89.86,5,10,404.37,
ORD00346,2025-02-10,West,Sports,78.9,7,0,552.3,3.1
ORD00194,2025-02-11,East,Sports,55.6,8,0,444.8,5.0
ORD00093,2025-02-15,South,Sports,69.29,10,0,692.9,4.2
ORD00170,2025-02-15,West,Apparel,40.8,7,20,228.48,
ORD00165,2025-02-16,East,Electronics,203.98,5,0,1019.9,3.9
ORD00380,2025-02-18,West,Home Goods,78.58,9,20,565.78,4.1
ORD00184,2025-02-18,South,Apparel,39.15,15,5,557.89,4.5
ORD00332,2025-02-19,South,Sports,27.99,5,10,125.96,4.6
ORD00235,2025-02-19,North,Electronics,225.07,7,20,1260.39,3.2
ORD00029,2025-02-26,East,Electronics,213.15,10,10,1918.35,3.6
ORD00084,2025-02-26,North,Electronics,226.43,5,20,905.72,4.2
ORD00391,2025-02-26,East,Apparel,49.21,7,0,5064.81325661524,3.3
ORD00126,2025-02-28,North,Home Goods,88.68,11,0,975.48,4.7
ORD00327,2025-02-28,North,Electronics,235.24,10,10,2117.16,5.0
ORD00224,2025-02-28,East,Sports,57.53,12,0,690.36,4.5
ORD00250,2025-02-28,South,Home Goods,60.85,7,0,425.95,4.4
ORD00217,2025-02-28,West,Apparel,52.11,14,0,729.54,3.4
ORD00101,2025-02-28,West,Electronics,179.34,11,10,1775.47,3.5
ORD00203,2025-03-03,East,Apparel,48.51,10,20,388.08,3.5
ORD00168,2025-03-03,East,Sports,58.74,13,0,763.62,3.7
ORD00078,2025-03-03,West,Home Goods,119.98,9,5,1025.83,4.6
ORD00180,2025-03-03,North,Sports,61.83,14,0,865.62,2.5
ORD00226,2025-03-03,North,Electronics,231.42,4,0,925.68,3.0
ORD00022,2025-03-04,North,Home Goods,73.3,6,0,439.8,4.8
ORD00159,2025-03-04,North,Electronics,292.7,13,15,3234.34,4.2
ORD00109,2025-03-07,South,Home Goods,99.11,11,0,1090.21,4.1
ORD00237,2025-03-08,East,Home Goods,91.03,15,20,1092.36,4.1
ORD00308,2025-03-09,South,Electronics,206.74,7,20,1157.74,4.0
ORD00009,2025-03-11,East,Apparel,49.47,9,0,445.23,3.9
ORD00231,2025-03-11,South,Apparel,25.78,5,5,122.46,3.4
ORD00240,2025-03-13,West,Home Goods,99.58,5,20,398.32,4.7
ORD00221,2025-03-14,West,Home Goods,87.84,13,0,1141.92,3.4
ORD00013,2025-03-18,North,Apparel,26.56,9,0,239.04,3.2
ORD00259,2025-03-18,East,Sports,71.98,8,20,460.67,5.0
ORD00112,2025-03-18,West,Apparel,68.15,8,10,490.68,3.8
ORD00283,2025-03-19,North,Apparel,45.17,8,0,361.36,4.2
ORD00325,2025-03-20,West,Electronics,230.3,10,5,2187.85,3.5
ORD00136,2025-03-21,South,Sports,78.25,9,5,669.04,5.0
ORD00028,2025-03-22,West,Apparel,13.95,8,15,94.86,4.0
ORD00069,2025-03-22,West,Electronics,234.3,8,0,1874.4,4.7
ORD00320,2025-03-24,East,Electronics,305.13,9,10,2471.55,4.7
ORD00181,2025-03-24,West,Sports,83.31,5,0,416.55,3.7
ORD00158,2025-03-24,South,Apparel,67.28,8,15,457.5,4.2
ORD00128,2025-03-25,South,Apparel,41.16,11,20,362.21,
ORD00123,2025-03-25,East,Electronics,108.5,9,0,976.5,4.6
ORD00385,2025-03-25,North,Electronics,95.73,5,10,430.78,5.0
ORD00032,2025-03-27,North,Home Goods,114.01,10,0,1140.1,4.2
ORD00329,2025-03-28,North,Electronics,221.97,11,0,2441.67,4.2
ORD00163,2025-03-28,West,Home Goods,78.88,11,5,824.3,3.7
ORD00271,2025-03-29,East,Sports,74.07,10,20,592.56,4.8
ORD00266,2025-03-30,North,Apparel,35.98,9,0,323.82,4.4
ORD00087,2025-03-30,East,Apparel,26.48,6,5,150.94,4.9
ORD00146,2025-03-30,West,Sports,29.97,13,0,389.61,4.8
ORD00274,2025-03-30,West,Electronics,356.75,9,15,2729.14,5.0
ORD00281,2025-04-03,East,Sports,33.88,12,15,345.58,4.3
ORD00357,2025-04-04,West,Apparel,44.64,4,0,178.56,
ORD00277,2025-04-05,North,Sports,58.73,14,10,740.0,4.1
ORD00339,2025-04-05,South,Sports,49.4,6,0,296.4,3.4
ORD00375,2025-04-05,North,Sports,30.69,10,10,276.21,5.0
ORD00367,2025-04-06,South,Apparel,58.52,9,0,526.68,5.0
ORD00114,2025-04-06,West,Home Goods,72.67,7,0,508.69,4.2
ORD00284,2025-04-07,South,Home Goods,82.19,7,20,460.26,4.9
ORD00060,2025-04-08,East,Home Goods,70.49,5,0,352.45,3.6
ORD00102,2025-04-08,East,Apparel,41.04,11,0,451.44,4.0
ORD00153,2025-04-09,East,Sports,51.9,11,0,570.9,4.5
ORD00183,2025-04-10,West,Apparel,45.93,11,5,479.97,3.1
ORD00088,2025-04-10,South,Sports,38.45,10,0,384.5,4.5
ORD00113,2025-04-11,North,Electronics,207.14,6,20,994.27,3.8
ORD00036,2025-04-11,North,Apparel,53.85,10,15,457.72,4.5
ORD00007,2025-04-11,North,Apparel,51.57,9,10,417.72,
ORD00001,2025-04-13,East,Sports,65.94,5,5,313.21,4.8
ORD00096,2025-04-14,East,Home Goods,62.2,8,0,497.6,3.9
ORD00057,2025-04-14,West,Electronics,277.12,9,0,2494.08,
ORD00236,2025-04-16,North,Home Goods,67.18,7,0,470.26,3.7
ORD00291,2025-04-17,North,Electronics,262.51,5,5,1246.92,3.9
ORD00258,2025-04-17,East,Apparel,39.78,13,0,517.14,5.0
ORD00044,2025-04-19,West,Sports,80.15,16,0,1282.4,
ORD00074,2025-04-19,East,Apparel,37.88,11,10,375.01,4.4
ORD00108,2025-04-20,East,Home Goods,130.65,11,20,1149.72,3.0
ORD00081,2025-04-20,North,Sports,83.0,8,10,597.6,5.0
ORD00031,2025-04-21,South,Electronics,257.52,12,0,3090.24,3.4
ORD00048,2025-04-21,South,Home Goods,76.28,9,0,686.52,5.0
ORD00379,2025-04-21,South,Sports,71.05,3,15,181.18,3.8
ORD00358,2025-04-22,South,Sports,51.96,11,15,485.83,3.4
ORD00302,2025-04-23,North,Apparel,46.36,7,0,324.52,3.6
ORD00222,2025-04-23,North,Home Goods,88.2,11,5,921.69,4.6
ORD00341,2025-04-25,South,Apparel,58.38,10,5,554.61,3.8
ORD00099,2025-04-25,North,Apparel,57.73,13,20,600.39,3.0
ORD00134,2025-04-25,North,Sports,54.88,16,5,834.18,4.9
ORD00141,2025-04-26,East,Sports,32.96,5,20,131.84,4.2
ORD00154,2025-04-28,East,Home Goods,67.75,7,0,474.25,3.4
ORD00362,2025-05-01,South,Sports,51.52,6,10,278.21,4.5
ORD00047,2025-05-03,North,Home Goods,60.67,8,20,388.29,3.3
ORD00238,2025-05-03,North,Electronics,180.15,11,0,1981.65,3.9
ORD00017,2025-05-03,West,Electronics,126.63,10,0,1266.3,4.0
ORD00289,2025-05-04,East,Apparel,54.76,9,5,468.2,4.2
ORD00245,2025-05-04,North,Sports,71.76,3,5,204.52,
ORD00166,2025-05-05,South,Apparel,46.03,6,10,248.56,5.0
